lfdn;age;sex;v_3;education;relation;kldb;e1;a1r;c1;n1;o1;e2r;a2;c2r;n2r;o2;e3;a3r;c3;n3;o3;e4;a4;c4r;n4;o4;e5r;a5;c5r;n5r;o5;e6;a6r;c6;n6;o6;e7r;a7;c7;n7r;o7r;e8;a8r;c8;n8;o8;o9r;a9;c9r;o10;status;charisma;classes;a1;e2;c2;n2;a3;c4;e5;c5;n5;a6;e7;n7;o7;a8;o9;c9;extr_mean;open_mean;con_mean;agree_mean;neuro_mean
69;21;2;-99;2;7;6;5;4;4;3;5;2;3;4;1;4;4;2;3;4;3;5;5;3;4;4;2;5;3;3;3;4;2;4;4;5;2;3;4;2;4;4;3;5;4;5;1;4;4;4;1;16;4;2;4;2;5;4;3;4;3;3;4;4;4;2;3;5;2;4,25;4;3,33333333333333;3,66666666666667;3,875
70;24;2;-99;2;1;8;4;2;5;2;5;3;4;4;3;5;3;2;4;3;4;4;4;5;3;5;3;5;5;4;4;2;2;4;4;5;4;4;1;4;1;3;3;3;3;5;2;4;3;4;1;12;6;4;3;2;3;4;1;3;1;2;4;2;2;5;3;4;3;3;4,6;2,66666666666667;4;2,75
71;27;1;-99;4;2;4;4;3;4;1;3;2;4;4;2;5;4;3;4;2;4;4;4;4;4;4;2;4;4;2;4;3;1;2;4;4;4;5;2;3;5;3;4;2;4;4;4;3;5;2;1;13;2;3;4;2;4;3;2;4;2;4;5;2;3;1;2;2;1;3,5;3,3;2,33333333333333;3,66666666666667;3,25
72;31;1;-99;4;2;4;4;3;5;1;5;4;5;1;2;5;4;2;5;5;5;4;3;2;4;5;2;4;4;3;5;5;2;4;4;5;4;4;4;4;4;3;2;4;3;5;5;4;2;2;1;10;2;3;2;5;4;4;4;4;2;3;4;2;2;2;4;1;4;3,5;4;4,11111111111111;3,88888888888889;3,25
73;28;1;-99;4;3;0;4;4;2;4;5;3;3;4;3;5;1;2;2;3;5;3;4;5;5;5;2;2;5;3;4;3;5;2;4;2;3;3;2;3;4;3;4;2;4;5;4;4;4;5;1;12;4;2;3;2;3;4;1;4;1;3;1;3;3;2;2;2;2;3;4;1,77777777777778;2,77777777777778;3,625
74;21;3;-99;2;7;0;5;5;2;4;2;3;3;4;3;4;2;3;1;4;5;4;5;5;4;2;3;5;5;3;2;2;4;1;4;3;4;4;3;4;5;4;4;2;4;4;4;4;3;2;1;14;1;1;3;2;3;3;1;3;1;3;2;2;2;1;2;2;3;3,125;2,7;1,77777777777778;3,22222222222222;3,5
75;20;3;-99;2;1;0;5;2;4;5;5;1;4;5;2;5;5;2;4;4;5;5;5;5;4;5;2;3;4;1;5;3;2;3;4;5;2;2;2;2;1;5;4;4;4;5;1;4;5;5;1;18;1;4;5;1;4;4;1;4;2;5;4;4;4;5;2;5;1;4,5;5;2,44444444444444;3,55555555555556;4,25
76;27;1;-99;2;1;6;4;4;5;3;3;3;4;4;3;5;2;1;5;4;4;3;2;3;2;5;2;4;4;3;3;2;2;4;4;5;2;4;2;3;4;1;2;3;4;4;2;3;4;3;2;-77;-77;2;3;2;3;5;3;4;2;3;4;4;3;2;4;4;2;2,875;3,8;3,11111111111111;3,55555555555556;3,25
78;22;1;-99;4;1;9;1;4;5;1;5;5;5;1;5;5;5;1;5;1;5;5;5;5;1;5;5;4;5;5;5;5;5;5;2;5;4;3;3;5;4;1;5;1;1;5;1;5;5;4;1;16;5;2;1;5;1;5;1;1;1;1;1;2;1;2;1;5;1;2,625;4,6;3;3,44444444444444;1,125
77;24;1;-99;4;2;6;5;4;4;3;5;2;5;2;2;5;3;1;3;2;4;4;2;5;5;5;1;5;5;1;5;4;2;2;2;5;2;5;4;3;1;5;1;2;2;5;5;5;5;5;1;15;1;2;4;4;4;5;1;5;1;5;4;4;3;5;5;1;1;4,25;4,5;2,44444444444444;4,22222222222222;3,25
79;63;2;-99;4;4;8;4;3;5;2;5;3;5;1;2;5;2;1;5;4;3;5;4;4;4;5;4;5;4;2;5;2;1;5;4;4;1;4;5;4;2;5;1;5;4;5;5;5;2;5;2;-77;-77;3;3;5;4;5;2;2;2;4;5;5;2;4;5;1;4;3,5;4,2;4,22222222222222;4,55555555555556;3,5
80;25;3;-99;4;7;9;4;4;5;5;2;5;5;4;1;5;1;1;5;4;5;4;5;1;5;5;5;5;1;2;2;5;5;5;5;5;5;5;5;4;5;4;5;4;5;5;1;4;5;5;1;13;3;2;1;2;5;5;5;1;5;4;1;1;2;1;1;5;1;2,625;4;4,11111111111111;3,66666666666667;4,375
81;26;1;-99;2;3;6;5;2;4;4;4;3;5;3;5;5;4;1;5;4;4;2;5;4;5;5;4;5;5;5;5;4;4;4;4;5;1;5;4;5;2;5;3;4;2;5;5;5;4;4;1;18;2;4;3;3;1;5;2;2;1;1;2;5;1;4;3;1;2;3,75;4,2;3,22222222222222;4,33333333333333;2,75
83;33;1;-99;3;7;7;3;1;4;1;3;3;5;4;5;4;3;2;5;2;3;3;5;2;2;4;3;4;2;5;2;4;2;5;2;3;3;5;4;4;3;4;3;3;2;4;3;5;2;2;1;11;5;5;3;2;1;4;4;3;4;1;4;3;2;3;3;3;4;3,25;3,1;3,88888888888889;4,44444444444444;1,625
84;24;1;-99;2;7;8;4;3;3;4;4;4;4;2;2;4;5;3;2;4;5;4;4;4;4;5;4;5;5;3;4;4;2;3;4;5;2;5;3;2;4;5;3;4;4;4;2;5;5;4;1;16;1;3;2;4;4;3;2;2;1;3;4;4;4;2;3;4;1;3,75;4,1;2,55555555555556;4;3,875
85;20;2;-99;1;7;9;4;3;4;3;5;1;5;2;4;4;3;2;4;3;5;4;4;1;5;5;3;2;3;2;4;3;3;4;4;5;3;4;4;3;4;4;2;3;4;4;5;5;4;5;2;-77;-77;3;5;4;2;4;5;3;3;4;3;3;3;2;4;1;2;3,625;4;3,66666666666667;3,77777777777778;3,5
87;36;1;-99;5;1;4;4;3;4;5;4;3;5;5;2;4;2;3;4;4;4;2;4;4;5;5;3;4;4;2;4;3;4;5;4;4;4;4;4;5;2;4;4;3;4;5;1;5;4;5;1;13;6;3;3;1;4;3;2;3;2;4;2;2;1;4;2;5;2;2,875;4,4;3;3,55555555555556;3,875
88;23;1;-99;2;1;2;2;3;4;4;2;4;4;5;5;4;1;1;5;2;4;2;5;5;4;4;4;4;5;5;4;3;4;4;2;2;3;4;4;5;4;2;4;4;2;5;5;4;2;3;1;14;6;3;2;1;1;5;1;2;1;1;2;3;1;2;2;1;4;2,125;3,1;3,11111111111111;3,66666666666667;2,125
89;52;1;-99;4;3;7;4;2;4;1;4;3;4;2;5;5;4;2;4;3;4;5;4;3;2;5;2;3;3;5;4;4;1;4;3;4;1;5;4;4;2;4;1;3;1;5;5;4;2;4;1;14;2;4;3;4;1;4;3;4;3;1;5;5;2;4;5;1;4;4,125;4;3,66666666666667;4,22222222222222;1,75
92;58;1;-99;4;3;9;3;1;5;4;5;3;5;1;2;5;4;1;5;4;5;4;3;2;1;5;3;4;2;3;5;5;5;4;3;5;4;5;5;4;1;3;4;4;1;5;3;5;3;2;1;11;1;5;3;5;4;5;4;3;4;3;1;2;2;5;2;3;3;3,375;4,5;4,33333333333333;3,88888888888889;2,75
93;30;1;-99;3;7;6;5;3;4;2;5;2;5;4;4;5;2;4;5;2;5;4;5;5;1;5;1;4;5;4;4;4;2;2;3;5;2;5;5;5;2;5;4;2;1;5;1;4;5;4;1;12;6;3;4;2;2;2;1;5;1;2;4;4;1;4;2;5;1;4,125;4,7;2,55555555555556;3,77777777777778;1,75
94;24;2;-99;6;2;9;5;2;3;2;4;2;4;4;4;5;5;1;2;4;4;5;4;2;3;5;2;4;4;2;4;4;1;2;4;5;2;3;2;4;2;4;4;2;2;4;1;4;5;5;1;16;1;4;4;2;2;5;4;4;2;4;5;4;2;4;2;5;1;4,375;4,5;2,22222222222222;3,88888888888889;2,875
106;24;2;-99;4;7;8;5;2;5;2;4;2;3;1;2;2;4;1;5;4;4;4;2;1;5;4;2;4;1;2;2;4;1;2;4;5;2;4;4;2;4;4;3;4;5;5;2;4;4;2;2;-77;-77;4;4;5;4;5;5;4;5;4;5;4;4;2;3;4;2;4,125;3,4;4,11111111111111;3,77777777777778;4
96;36;2;-99;4;3;6;5;4;3;3;4;4;5;2;2;5;2;1;5;4;3;4;4;2;5;5;2;4;2;2;4;4;1;2;4;4;3;5;4;5;4;5;1;4;4;5;1;4;4;4;1;6;3;2;2;4;4;5;4;4;4;4;5;3;1;2;5;5;2;3,625;4,1;3,55555555555556;4,33333333333333;3,625
97;34;3;-99;5;3;9;2;4;2;5;4;4;4;4;1;5;2;2;3;5;4;2;2;5;5;5;4;2;5;1;4;1;4;1;5;5;4;4;2;1;5;2;2;4;5;4;1;3;5;5;1;10;3;2;2;2;5;4;1;2;1;5;2;2;5;1;4;5;1;1,875;4,2;1,88888888888889;3;5
98;56;1;-99;6;6;8;4;2;4;3;4;4;4;2;4;4;2;2;4;3;4;3;4;4;3;4;4;4;2;4;4;3;3;4;4;4;4;4;4;4;4;3;3;4;3;4;2;4;3;4;1;14;5;4;2;4;2;4;2;2;4;2;3;2;2;2;3;4;3;2,625;3,8;3,66666666666667;3,77777777777778;2,75
100;49;1;-99;4;3;3;2;3;3;5;4;4;4;4;2;4;2;1;3;3;4;3;4;5;3;4;4;4;4;2;4;3;4;3;4;4;4;4;3;5;4;4;3;2;4;4;4;4;4;4;1;10;5;3;2;2;4;5;1;2;2;4;2;2;1;2;3;2;2;2,5;3,6;2,33333333333333;3,66666666666667;3,5
101;30;1;-99;5;2;9;2;1;5;1;4;4;4;4;5;5;3;4;5;3;4;3;4;4;1;4;5;4;4;5;4;4;2;4;3;4;5;3;2;5;1;4;3;3;1;5;2;4;4;5;1;17;1;5;2;2;1;2;2;1;2;1;4;1;1;5;3;4;2;2,5;4,4;3;3,66666666666667;1,5
102;30;1;-99;3;1;6;3;2;3;4;2;4;2;3;2;4;3;2;2;5;4;3;3;5;4;5;5;3;3;1;3;1;4;3;4;4;5;3;3;3;3;1;3;3;5;4;1;5;1;3;1;10;4;4;2;3;4;4;1;1;3;5;2;1;3;3;3;5;5;1,875;3,7;2,88888888888889;3,22222222222222;4,25
103;29;1;-99;4;1;8;2;4;4;4;5;4;5;2;5;5;1;1;4;1;5;2;5;1;2;5;2;1;2;5;5;4;2;4;1;4;2;4;4;5;4;4;1;5;1;4;1;4;1;4;1;14;1;2;2;4;1;5;5;4;4;1;4;4;1;2;5;5;5;2,875;4,4;4,33333333333333;3,88888888888889;1,5
104;39;1;-99;4;3;4;4;3;4;1;5;2;5;4;4;5;2;4;4;3;4;4;3;3;1;5;2;4;3;2;4;4;4;4;3;4;2;4;4;4;3;4;4;4;1;5;2;5;2;3;1;14;5;3;4;2;2;2;3;4;3;4;2;4;2;3;2;4;4;3,75;4,2;3,55555555555556;3,33333333333333;2,125
105;19;1;-99;3;1;0;2;1;4;2;4;3;5;4;5;5;3;1;4;4;5;2;4;4;3;5;4;5;2;5;5;2;2;4;4;2;4;5;5;4;3;4;1;4;1;5;1;5;4;5;1;13;1;5;3;2;1;5;2;2;4;1;4;2;2;3;5;5;2;2,5;4,4;3,44444444444444;4,77777777777778;2,25
107;35;2;-99;4;3;3;3;3;4;2;4;3;4;4;3;2;2;1;4;3;3;4;4;4;3;5;3;4;2;2;4;4;3;3;4;4;3;4;3;3;4;3;2;3;3;3;4;3;3;3;1;13;1;3;3;2;3;5;2;3;4;4;3;3;3;2;4;2;3;3,125;3,2;3,11111111111111;3,77777777777778;3,125
108;39;2;-99;4;1;4;4;3;2;5;5;2;4;5;1;5;2;2;2;4;5;4;1;5;5;5;3;3;4;2;4;4;4;4;5;5;5;3;2;2;1;2;4;2;5;4;1;2;4;5;1;4;1;3;4;1;5;4;1;3;2;4;2;1;4;5;2;5;2;3;4,8;2;2,66666666666667;4,625
109;45;1;-99;3;7;4;5;4;5;1;4;2;5;1;5;4;4;1;5;1;4;4;3;3;1;5;1;3;3;5;4;4;1;5;1;5;1;5;5;5;1;5;1;5;1;5;2;5;3;3;1;12;2;2;4;5;1;5;3;5;3;1;5;5;1;5;5;4;3;4,5;4,3;4,33333333333333;4,22222222222222;1
110;24;1;-99;3;2;8;5;2;4;3;4;1;4;4;5;5;5;1;4;3;4;5;5;5;5;5;1;4;4;3;4;4;2;4;3;4;2;5;4;4;2;4;2;4;2;4;1;5;4;3;1;13;1;4;5;2;1;5;1;5;2;3;4;4;2;4;4;5;2;4,625;4,2;3;4,44444444444444;2,75
112;21;3;-99;2;1;6;4;1;4;5;4;3;5;4;3;5;4;1;4;4;4;5;5;4;4;5;2;2;4;3;5;3;2;4;4;5;2;5;4;4;4;4;3;3;4;5;4;5;4;3;1;12;3;5;3;2;3;5;2;4;2;3;4;4;2;2;3;2;2;3,875;4;3;4,33333333333333;3,625
113;29;1;-99;4;1;7;3;1;4;1;5;2;5;1;4;4;3;1;5;1;5;5;5;2;1;5;4;5;4;5;5;4;3;4;2;3;1;5;3;5;4;5;1;5;1;5;2;3;2;4;1;15;1;5;4;5;2;5;4;2;2;1;3;5;1;2;5;4;4;3,875;4,2;4;4,55555555555556;1,25
115;51;1;-99;5;7;9;3;4;5;4;5;4;4;4;2;5;3;1;4;4;5;3;3;4;3;5;4;2;4;3;5;4;4;4;5;5;4;4;4;4;2;3;2;4;3;5;1;4;5;5;1;12;1;2;2;2;4;5;2;2;2;3;2;2;2;4;4;5;1;2,75;4,9;3,11111111111111;3,33333333333333;3,5
116;51;2;-99;4;3;6;2;0;4;5;5;3;5;5;3;5;3;1;5;4;4;4;5;5;4;5;3;4;4;4;4;3;2;4;3;5;4;5;2;5;2;3;4;2;4;5;1;3;4;4;1;12;2; ;3;1;3;5;1;3;2;2;4;2;1;4;2;5;2;2,875;4,6;2,55555555555556;4,125;3,25
117;47;1;-99;3;3;0;3;2;5;3;4;1;4;3;5;4;3;1;4;5;4;3;4;2;1;5;2;3;2;5;4;2;2;4;3;2;2;5;2;5;4;5;2;4;2;5;2;4;5;5;1;13;1;4;5;3;1;5;4;4;4;1;4;4;1;2;4;4;1;3,625;3,9;3,44444444444444;4,11111111111111;2,125
118;30;1;-99;5;1;0;5;4;4;4;4;4;3;4;2;4;3;1;5;4;4;3;2;4;4;4;3;2;3;2;4;3;3;3;4;4;4;3;3;3;2;4;4;3;4;4;4;3;4;4;1;15;1;2;2;2;4;5;2;3;3;4;3;2;3;4;2;2;2;3,125;3,8;3;2,77777777777778;3,875
119;28;2;-99;5;1;8;4;4;5;5;5;4;3;4;1;5;2;2;5;5;5;5;4;1;5;5;4;4;2;1;5;2;4;4;5;5;4;4;2;2;2;2;4;5;4;5;1;4;4;4;1;16;2;2;2;2;5;4;5;2;4;5;2;2;4;4;2;5;2;2,625;4,8;3,77777777777778;3,22222222222222;4,75
120;42;1;-99;4;1;8;2;4;2;1;4;4;4;4;1;5;3;1;3;2;4;4;4;2;4;4;2;4;4;3;4;2;4;3;1;4;3;4;4;2;2;4;4;2;4;3;4;4;3;3;1;10;1;2;2;2;5;5;4;4;2;3;2;3;4;4;2;2;3;3;3,7;2,77777777777778;3,44444444444444;3
121;41;1;-99;3;1;9;2;1;3;4;4;4;5;4;5;5;3;2;4;2;3;5;4;5;2;5;4;4;4;4;4;3;3;3;4;4;4;5;4;5;4;3;2;2;3;4;4;4;4;4;1;14;4;5;2;2;1;4;1;2;2;2;3;2;1;2;4;2;2;2,75;3,7;2,55555555555556;4,22222222222222;2,375
122;48;1;-99;4;3;9;3;3;2;1;5;2;3;4;5;5;3;1;2;2;3;4;4;5;2;5;3;4;4;4;4;3;2;2;1;4;2;4;3;5;1;3;2;2;2;4;2;5;5;4;1;12;1;3;4;2;1;5;1;3;2;2;4;4;1;5;4;4;1;3,375;4,3;1,88888888888889;4;1,5
124;29;1;-99;2;1;0;4;2;3;1;2;2;4;1;5;4;4;1;5;3;4;3;5;3;3;4;4;4;4;4;2;2;1;5;1;5;4;5;4;5;3;4;3;4;1;4;1;5;3;4;1;14;6;4;4;5;1;5;3;2;2;2;5;2;1;3;3;5;3;3,125;3,7;3,77777777777778;4,44444444444444;1,625
125;46;1;-99;3;3;9;2;2;4;4;5;4;4;5;2;4;3;1;5;4;4;4;4;4;5;5;3;3;4;1;5;3;4;4;5;5;4;5;3;5;1;3;3;4;4;4;1;5;5;4;1;12;2;4;2;1;4;5;2;3;2;5;2;2;1;5;3;5;1;2,75;4,6;2,88888888888889;3,88888888888889;4
127;24;1;-99;2;7;9;1;2;3;1;4;5;3;4;2;2;1;3;4;3;3;3;5;5;5;5;5;4;5;1;3;1;3;2;4;4;5;4;1;3;5;2;2;2;5;4;1;3;4;5;1;12;6;4;1;2;4;3;1;1;1;5;3;1;3;1;4;5;2;1,375;3,6;2;3,66666666666667;3,75
128;33;1;-99;5;3;8;4;2;3;2;4;2;4;4;5;5;4;1;4;2;5;5;5;3;1;5;2;4;4;5;4;4;3;2;2;4;2;5;4;5;2;4;1;2;1;5;3;3;2;1;1;17;6;4;4;2;1;5;3;4;2;1;3;4;1;4;5;3;4;4,125;4;2,88888888888889;4,22222222222222;1,375
129;30;1;-99;3;7;2;4;4;5;2;5;2;5;3;2;4;3;3;4;4;5;3;5;2;3;5;4;5;4;4;2;3;1;3;2;4;2;3;4;3;2;4;3;4;4;5;5;5;1;5;1;16;5;2;4;3;4;3;4;2;2;2;5;4;3;4;3;1;5;3,375;4;3,77777777777778;4;3
130;28;2;-99;5;7;4;4;3;4;4;4;4;5;2;3;4;2;1;4;2;3;2;5;2;4;4;4;4;4;3;4;4;3;3;4;4;4;4;4;4;4;3;2;4;2;3;4;4;2;3;1;12;1;3;2;4;3;5;4;2;2;3;3;2;2;2;4;2;4;2,625;3,3;3,66666666666667;4,11111111111111;3
143;23;2;-99;4;3;7;4;3;5;2;5;3;4;2;3;5;5;1;5;4;5;5;4;1;3;5;2;4;1;4;4;4;4;5;4;4;2;4;4;4;2;4;1;5;1;4;2;5;2;4;1;11;1;3;3;4;3;5;5;4;5;2;2;4;2;4;5;4;4;4,125;4,4;4,66666666666667;4;2,625
134;48;1;-99;2;1;5;4;0;5;3;5;1;5;4;3;3;2;2;4;2;2;4;5;2;2;4;2;4;4;3;4;5;3;4;2;4;1;4;3;4;4;5;2;3;2;3;4;5;4;4;1;14;5; ;5;2;3;4;4;4;2;3;3;5;2;2;4;2;2;4,25;3,3;3,22222222222222;4,25;2,375
136;55;1;-99;4;2;9;4;2;2;4;5;3;4;4;3;5;2;2;4;3;3;3;5;4;3;5;2;5;4;4;5;3;2;4;3;4;2;5;3;5;2;4;3;2;4;5;4;4;4;4;1;16;2;4;3;2;3;4;2;4;2;2;4;4;1;4;3;2;2;3,375;4,2;2,55555555555556;4,22222222222222;2,875
138;25;1;-99;3;7;5;4;2;4;1;4;5;4;2;5;3;2;1;5;2;3;2;4;4;2;4;5;4;4;4;3;1;4;4;2;4;4;4;2;4;5;1;1;2;1;4;2;5;4;2;1;10;3;4;1;4;1;5;2;1;2;2;2;2;2;1;5;4;2;1,75;3,2;3;4,11111111111111;1,625
139;52;1;-99;5;1;8;3;1;4;1;4;4;4;1;4;5;4;1;4;4;3;3;4;3;1;4;3;4;4;4;4;4;2;4;2;4;2;4;3;5;2;4;1;4;1;5;2;4;3;5;1;12;2;5;2;5;2;5;3;3;2;2;4;4;1;4;5;4;3;3,375;4,2;3,55555555555556;4,33333333333333;1,75
141;23;1;-99;4;1;0;4;2;4;2;5;2;5;4;2;4;4;1;5;4;4;4;5;2;4;5;2;5;4;4;4;4;1;4;1;4;4;5;5;4;2;5;1;5;4;5;4;5;5;4;1;12;4;4;4;2;4;5;4;4;2;2;5;2;2;4;5;2;1;3,875;4,1;3,55555555555556;4,88888888888889;2,875
142;25;1;-99;5;1;4;4;1;5;1;5;1;4;5;3;5;5;2;4;3;4;4;4;5;1;4;1;5;4;4;5;4;1;5;1;3;1;4;4;4;2;4;3;4;1;4;2;5;1;3;1;12;4;5;5;1;3;4;1;5;2;2;5;5;2;4;3;4;5;4,5;4,1;3,44444444444444;4,33333333333333;1,75
144;38;1;-99;2;1;9;2;3;4;3;3;4;5;2;4;4;2;2;4;3;5;3;2;3;3;4;4;4;4;3;3;3;4;3;3;4;4;4;3;4;2;2;4;4;4;4;4;4;4;4;1;12;1;3;2;4;2;4;3;2;2;3;2;2;2;4;2;2;2;2,25;3,7;3,22222222222222;3,33333333333333;2,875
146;21;1;-99;4;1;4;4;3;3;5;5;4;4;4;2;4;2;4;2;5;5;4;5;4;5;5;4;3;2;2;4;3;4;1;5;5;4;3;3;4;3;4;4;2;4;5;1;4;5;5;1;16;1;3;2;2;4;2;2;2;4;4;2;2;2;3;2;5;1;2,875;4,6;2,22222222222222;3,11111111111111;4,25
147;26;3;-99;3;1;0;4;3;4;4;3;5;5;4;3;5;4;1;4;5;4;5;3;3;4;2;4;5;4;1;2;1;4;3;4;5;5;5;4;5;5;5;1;4;4;5;1;4;5;5;1;8;5;3;1;2;3;5;3;2;2;5;2;1;1;1;5;5;1;2,875;3,7;3;4,11111111111111;3,75
148;33;1;-99;5;1;8;3;2;4;4;4;4;4;2;3;5;3;2;4;4;5;3;2;4;4;5;3;4;3;3;4;4;3;3;4;4;4;4;2;4;1;4;3;2;3;4;4;5;4;4;1;13;6;4;2;4;3;4;2;3;3;3;3;2;2;5;3;2;2;3;4,2;2,88888888888889;3,66666666666667;3,375
152;47;1;-99;5;3;7;4;3;5;1;5;4;5;1;4;5;5;1;5;4;5;5;3;1;4;5;1;4;1;5;5;4;2;5;3;4;1;5;4;5;2;4;3;4;1;5;2;5;5;2;1;12;1;3;2;5;2;5;5;5;5;1;4;5;1;4;3;4;1;4,25;4,4;4,33333333333333;4,11111111111111;2,125
153;30;1;-99;4;7;4;4;3;4;2;4;4;4;5;2;5;2;1;4;3;4;3;4;5;4;5;2;4;5;3;5;3;3;2;4;3;5;4;3;4;1;3;3;3;4;4;3;5;5;3;1;12;2;3;2;1;4;5;1;4;1;3;3;1;2;5;3;3;1;2,75;4,1;2,22222222222222;3,88888888888889;3,25
155;25;2;-99;2;7;0;2;2;4;3;5;4;5;4;3;4;2;1;4;4;5;5;5;3;5;5;5;5;3;2;4;3;1;2;3;4;5;5;4;2;2;3;1;3;4;4;1;5;4;5;1;12;3;4;2;2;3;5;3;1;3;4;5;1;4;4;5;5;2;2,375;4,5;3;4,88888888888889;3,75
156;33;1;-99;2;3;10;2;3;4;1;4;4;3;4;2;4;3;2;3;4;5;3;3;5;3;2;4;4;4;4;4;0;4;3;2;3;4;4;3;4;4;3;3;2;2;4;3;4;4;2;1;13;5;3;2;2;4;4;1;2;2;2;2;2;2;2;3;3;2;2,125;3,3;2,44444444444444;3,33333333333333;2,5
157;29;1;-99;4;7;0;4;3;4;1;4;2;3;2;3;5;4;2;5;3;5;5;3;2;3;5;3;4;3;4;5;5;3;4;3;3;2;4;4;5;2;4;2;4;2;5;2;5;3;3;1;15;6;3;4;4;3;4;4;3;3;2;3;4;1;4;4;4;3;4,125;4,3;3,88888888888889;3,66666666666667;2,25
158;30;2;-99;5;7;9;4;3;5;4;5;4;5;3;2;5;4;2;5;4;5;3;1;3;5;5;3;4;2;1;4;2;1;4;5;5;4;5;3;2;3;4;1;4;5;5;3;4;4;5;1;15;1;3;2;3;4;4;3;3;4;5;5;2;4;3;5;3;2;3;4,5;3,66666666666667;4;4,5
159;38;1;-99;5;3;9;5;4;4;2;5;3;4;2;3;4;4;1;4;3;4;4;4;4;4;5;2;5;4;5;5;1;2;3;3;4;1;5;4;5;3;5;2;3;1;4;1;4;3;3;1;15;1;2;3;4;3;5;2;4;2;1;4;5;1;3;4;5;3;3,875;4,2;3,22222222222222;4,11111111111111;2,25
160;21;1;-99;4;1;0;3;4;4;1;2;2;4;4;3;5;5;1;4;2;3;4;5;3;2;2;2;5;2;5;4;3;2;3;2;2;3;4;3;4;2;3;2;4;4;4;4;5;3;1;2;-77;-77;2;4;2;3;5;3;4;4;1;4;3;2;4;4;2;3;3,625;2,9;3,33333333333333;4,22222222222222;2,125
163;25;2;-99;4;3;0;5;3;4;1;4;1;5;4;5;4;4;2;5;2;5;5;4;3;3;5;3;4;4;5;4;4;4;3;3;4;2;5;4;4;3;4;3;2;2;4;4;4;3;4;1;12;1;3;5;2;1;4;3;3;2;1;2;4;2;3;3;2;3;4,25;3,9;3,11111111111111;3,77777777777778;1,875
164;27;2;-99;4;1;9;5;2;4;5;5;4;2;4;1;4;2;3;2;4;2;4;2;4;5;5;3;4;5;1;4;2;1;4;5;4;4;3;2;1;5;1;2;4;5;5;1;4;5;4;1;12;1;4;2;2;5;3;2;3;1;5;5;2;5;1;4;5;1;2,625;3,9;2,44444444444444;3,44444444444444;4,875
165;35;2;-99;3;7;2;2;1;2;5;4;4;4;3;2;4;2;2;3;2;5;3;4;3;4;5;4;4;4;3;3;3;2;4;4;4;5;4;4;4;5;3;3;3;4;4;5;4;3;5;1;14;1;5;2;3;4;4;3;2;2;3;4;1;2;1;3;1;3;2,25;3,6;3;4;3,5
168;41;2;-99;2;7;0;1;1;4;1;2;5;4;2;2;4;1;1;4;2;2;2;4;1;1;4;5;3;4;2;2;1;4;4;2;1;4;4;4;2;4;1;1;4;4;2;5;2;1;1;2;-77;-77;5;1;4;4;5;5;1;2;4;2;2;4;2;5;1;5;1,25;2,1;4;3,77777777777778;2,75
167;22;2;-99;4;1;0;5;2;2;5;5;4;5;5;1;5;5;1;4;5;4;4;5;5;5;5;4;4;4;2;4;3;3;4;3;5;3;5;3;1;2;4;1;4;5;5;1;4;5;4;1;10;5;4;2;1;5;5;1;2;2;4;3;3;5;4;5;5;1;3,5;4,6;2,44444444444444;4,44444444444444;4,625
170;24;2;-99;4;1;6;2;3;2;4;5;5;2;1;4;2;1;4;5;2;4;3;2;5;5;3;5;5;4;1;4;5;2;1;5;3;4;5;4;5;2;2;4;3;4;5;4;5;2;2;1;16;2;3;1;5;2;2;1;1;2;5;4;2;1;4;2;2;4;2,125;3,4;3;3,33333333333333;3,5
173;52;1;-99;4;3;8;5;5;4;1;4;2;5;4;4;5;4;3;5;4;5;5;4;4;3;5;1;4;0;5;4;5;3;5;2;5;2;3;3;5;1;4;4;4;1;5;4;4;5;2;1;13;5;1;4;2;2;3;2;5; ;1;3;4;1;5;2;2;1;4,5;4,2;3,25;3,22222222222222;1,875
175;26;1;-99;3;7;7;3;1;4;4;5;4;5;4;1;5;2;3;4;4;5;2;5;4;5;5;5;4;4;2;4;2;2;3;3;5;5;5;4;2;4;2;1;2;5;5;2;2;4;5;1;11;1;5;2;2;5;3;2;1;2;4;4;1;4;2;5;4;2;1,875;4,5;2,77777777777778;4,22222222222222;4,25
176;46;1;-99;5;3;7;4;2;4;1;4;2;4;4;4;5;4;4;4;4;4;4;4;3;1;5;4;4;4;4;4;4;3;4;4;4;3;4;4;4;2;4;3;3;2;4;2;4;4;3;1;12;2;4;4;2;2;2;3;2;2;2;3;3;2;4;3;4;2;3,625;4,1;3,11111111111111;3,55555555555556;2,25
178;29;2;-99;5;3;8;4;1;3;3;5;4;5;4;3;5;3;1;4;3;4;5;5;5;5;5;3;5;1;2;4;3;1;3;3;5;4;5;2;4;1;3;2;4;4;4;2;5;5;4;1;13;5;5;2;2;3;5;1;3;5;4;5;2;2;5;4;4;1;3,125;4,5;2,77777777777778;4,88888888888889;3,375
179;37;1;-99;3;7;8;5;3;3;2;4;2;4;4;4;4;4;2;4;2;3;4;3;4;2;5;3;4;4;4;5;3;3;4;3;3;2;4;4;4;3;4;3;3;3;4;2;4;4;3;1;14;1;3;4;2;2;4;2;3;2;2;3;4;2;3;3;4;2;3,875;3,8;2,88888888888889;3,55555555555556;2,25
